# Entropy inequalities by Dougherty-Freiling-Zeger
# First 11 numbers are the coefficients,
#   then the copy string used
#   then the id of the inequality
#   then the indication whether is has been superseded
#
# The coordinates are:
# [a,b,c,d]  (a,b|c) (a,c|b) (b,c|a)  (a,b|d) (a,d|b) (b,d|a)
#            (c,d|a) (c,d|b) (c,d) (a,b|cd)
#
1, 1,1,1, 0,0,0, 0,0,0,0, r=c:ab, dfz:0:0, S
20, 14,17,18, 0,5,4, 0,0,0,0, rs=cd:ab;t=a:bcs;u=a:bcst, dfz:40:189, S
24, 0,13,6, 16,17,24, 0,0,0,0, rs=cd:ab;t=a:bcs;u=c:abrt, dfz:71:190, S
5, 6,14,1, 0,6,6, 0,0,0,0, rs=cd:ab;t=a:bcr;u=(ds):abt, dfz:144:191
7, 0,7,1, 11,21,2, 0,3,0,0, rs=ac:bd;t=a:bcr;u=(ar):bdt, dfz:181:192
8, 2,13,14, 0,1,2, 0,0,0,0, rs=cd:ab;t=(cr):ab;u=a:bcs, dfz:193:193
5, 3,5,6, 0,0,2, 0,0,0,0, rs=cd:ab;t=a:bcr;u=b:adr, dfz:167:194, S
19, 10,12,22, 0,16,8, 0,0,0,0, rs=cd:ab;t=a:bcs;u=t:acr, dfz:122:195, S
4, 2,5,4, 2,2,0, 0,0,0,0, rs=cd:ab;t=a:bcr;u=r:ad, dfz:188:196, S
26, 17,21,25, 0,7,6, 0,0,0,0, rs=cd:ab;t=a:bcs;u=a:bcst, dfz:40:197, S
11, 8,28,4, 0,20,12, 0,0,0,0, rs=cd:ab;t=(cs):ab;u=a:bcrt, dfz:137:198, S
5, 5,19,1, 0,8,8, 0,0,0,0, rs=cd:ab;t=a:bcr;u=(ds):abt, dfz:144:199, S
7, 0,3,0, 6,6,7, 0,0,0,0, rs=cd:ab;t=a:bcs;u=s:abcdt, dfz:75:200, S
36, 25,29,35, 0,11,6, 0,0,0,0, rs=cd:ab;t=a:bcs;u=a:bcst, dfz:40:201, S
6, 0,5,2, 3,4,8, 0,0,0,0, rs=cd:ab;t=a:bcs;u=t:ads, dfz:184:202
10, 0,3,4, 2,17,18, 0,0,0,0, rs=cd:ab;t=(cr):ab;u=a:bdr, dfz:203:203
14, 0,17,2, 22,45,4, 0,0,0,0, rs=ac:bd;t=r:abs;u=(ar):bdt, dfz:204:204
14, 2,20,7, 8,10,5, 0,0,0,0, rs=cd:ab;t=r:ad;u=b:adrt, dfz:205:205, S
3, 3,5,1, 3,2,0, 0,0,0,0, rs=cd:ab;t=c:ar;u=r:ad, dfz:159:206
11, 8,30,4, 0,20,10, 0,0,0,0, rs=cd:ab;t=(cs):ab;u=a:bcrt, dfz:137:207, S
20, 14,16,20, 0,6,3, 0,0,0,0, rs=cd:ab;t=a:bcs;u=a:bcst, dfz:40:208, S
16, 0,19,4, 26,51,4, 0,0,0,0, rs=ac:bd;t=a:bcr;u=(ar):bdt, dfz:181:209
15, 10,12,15, 0,4,3, 0,0,0,0, rs=cd:ab;t=a:bcs;u=a:bcst, dfz:40:210, S
8, 0,9,2, 13,25,2, 0,1,0,0, rs=ac:bd;t=a:bcr;u=(ar):bdt, dfz:181:211
47, 32,37,41, 3,15,9, 0,0,0,0, rs=cd:ab;t=a:bcs;u=a:bcst, dfz:40:212, S
25, 0,30,7, 41,81,6, 0,0,0,0, rs=ac:bd;t=r:abs;u=(ar):bdt, dfz:204:213
20, 4,7,8, 10,15,14, 0,0,0,0, rs=cd:ab;t=a:bcs;u=a:bcst, dfz:40:214, S
